Date;Review Rating;Title;Verbatim Native;Product Description;Segment;Version;Comment ID
23/02/2024;5;;Me resultó muy bueno pensaba que no haría nada pero el picor y mucha caspa me ha desaparecido en pocos lavados;DermaXpro Champú Revitalizante;Shampoo;Revitalize;236781607
22/02/2024;5;Funciona perfectamente;Compré el tratamiento completo de la caída del cabello, la verdad que me resultó muy tentador, porque siempre había usado el h&s de toda la vida y quise probar esta gama ya que se me caia muchísimo el pelo. Los resultados han sido impresionantes, desde que empecé a usar el champú y el acondicionador en la ducha, que es donde más notaba la caída, ahora ya no tengo mechones en las manos, se cae algún pelo pero no es nada comparado con antes, después me aplicó el serum, nada más salir de la ducha y por las noches, y este serum es el que más efecto hace. Mi opinión sincera es que son los productos que se han convertido indispensables para mis cuidados del cabello;Tratamiento Hidratante Sin Aclarado H&S DermaXPro;Hair Treatments;Revitalize;236816003
22/02/2024;5;¡Eficacia probada!;Llevo utilizando el producto varios meses y os aseguro que he notado un cambio en mi pelo. Lo veo más fuerte y sedoso. Es una pasada, seguiré utilizándolo porque estoy muy contenta con el resultado. Además, no es necesario aclararte el pelo tras aplicar el producto. El formato facilita mucho que puedas llegar a todas las zonas y distribuirlo correctamente. Os recomiendo que lo probéis, merece muchísimo la pena.;Tratamiento Hidratante Sin Aclarado H&S DermaXPro;Hair Treatments;Revitalize;236868923
22/02/2024;5;Ideal;He notado muchísimas mejoría en mi cabello, pelo mucho más hidratado con un brillo espectacular y sin enredos, estoy encantada,;Tratamiento Hidratante Sin Aclarado H&S DermaXPro;Hair Treatments;Revitalize;236794545
11/02/2024;5;Resultados desde el primer día;Compré este champú por la promoción de la cuponera y lo he seguido comprando después. Tengo dermatitis atópica y es la primera vez que encuentro un champú con el que no tengo ningún problema, te deja pelo y piel hidratada y huele muy bien. Sin duda lo recomiendo;Champú H&S DermaXPro;Shampoo;Soothe;235297466
11/01/2024;4;Muy bueno;Tengo el cuerpo cabelludo con rojeces y la verdad es que me va súper bien. También uso el acondicionador y me deja el pelo super suave;Champú H&S DermaXPro;Shampoo;Soothe;231423004
11/01/2024;4;El único que funciona;Desde que uso este champú he notado que sobretodo te quita la descamación del cuero cabelludo. Hay que lavarse el pelo muy bien y masajear para conseguir el efecto menthol.;Champú H&S DermaXPro;Shampoo;Soothe;231422320
07/01/2024;5;;Me deja el pelo muy brillante sedoso y me da volumen;DermaXpro Champú Revitalizante;Shampoo;Revitalize;231388680
27/12/2023;4;fantasticas funciones;Compre este producto, en una oferta para probarlo, me sorprendió el resultado. A mi modo de ver muy bueno.;DermaXpro Champú Revitalizante;Shampoo;Revitalize;231217086
26/12/2023;5;Me encanta ,es buenisimo;Llevo toda la vida usando HS y es buenisimo ,no cambio pues ya estoy acostumbrada yo y toda mi familia a usarlo ,probamos cada variedad que sale nueva y nos encanta;DermaXpro Champú Revitalizante;Shampoo;Revitalize;231218457
26/12/2023;5;Perfecto por mi tipo de pelo;Llevo usándolo un poco tiempo y si que es genial de verdad;Champú H&S DermaXPro;Shampoo;Soothe;231193008
18/12/2023;5;Fantásticos resultados;Llevo más de 2 semanas usándolo y me cabello parece mucho más saludable y más hidratado. Noto el cuero cabelludo muy limpio, más fresco y más húmedo, ya no se reseca tanto como antes. La caspa ha desaparecido por completo. Fue un gran descubrimiento y me encanta!;DermaXpro Champú Revitalizante;Shampoo;Revitalize;230007183
13/12/2023;5;El pelo me quedo muy suave;Lo compre hace 1 mes me gusta mucho,el pelo queda suave y con brillo,excelente producto;Acondicionador H&S DermaXPro;Hair Conditioner;Soothe;229535528
10/12/2023;5;Me encanta el producto;Me ha encantado el resultado ,te deja el cabello super hidratado;Tratamiento Hidratante Sin Aclarado H&S DermaXPro;Hair Treatments;Revitalize;229262244
09/12/2023;5;Buenisimooooooooooooooooo;Lo uso hace un mes y he visto cambios positivos en mi cabello;Champú H&S DermaXPro;Shampoo;Soothe;229293544
05/12/2023;4;Me calma al instante;Desde hace unos meses tengo el cuero cabelludo muy irritable, me pica y la sensación es muy desagradable y este producto me calma al instante. Es aplicarlo y adiós molestias y eso no me puede gustar más. Además no engrasa así que lo aplico 2 veces al día.;Tratamiento Hidratante Sin Aclarado H&S DermaXPro;Hair Treatments;Revitalize;229258688
05/12/2023;4;Frescor en el cuero cabelludo;Es un frescor que alivia mucho las molestias de picor en la cabeza y unido al resto de productos de la gama dejan un pelo limpio, bonito y saludable además de calmado.;DermaXpro Champú Revitalizante;Shampoo;Revitalize;229293547
30/11/2023;5;fantastico resultado;compré para probar porque me dura poco el pelo limpio y la verdad he conseguido buen resultado desde el principio y el pelo lo tengo bien durante mas tiempo;DermaXpro Champú Revitalizante;Shampoo;Revitalize;228834596
30/11/2023;5;Resultados visibles de inmediato!;Compré este producto hace dos meses ,y los resultados son inmediatos cabellos sedoso desde la raíz a la punta con resultados realmente asombroso ,mantienen además mi color intacto ,lo recomiendo 100%;Tratamiento Hidratante Sin Aclarado H&S DermaXPro;Hair Treatments;Revitalize;228214351
30/11/2023;5;Totalmente recomendable;Llevo muchos años usando el champu H&S. Cuando he visto este nuevo producto, compre sin duda y estoy encantada. Hace su funcion, pelo limpio, suave un olor agradable y frescura. Osea buenos resultados. Gracias;DermaXpro Champú Revitalizante;Shampoo;Revitalize;228214350
29/11/2023;4;Mejora la textura del cabello;Suelo usar H&S desde siempre y hace un mes probé este nuevo producto. Me encanto;DermaXpro Champú Revitalizante;Shampoo;Revitalize;228017505
29/11/2023;4;Hidrata muy bien y dura bastante;Hidrata muy bien y dura bastante (más de 12 horas);Tratamiento Hidratante Sin Aclarado H&S DermaXPro;Hair Treatments;Revitalize;227987115
29/11/2023;5;Bueno;buen champú dermaxpro para cueros cabelludo sensibles;DermaXpro Champú Revitalizante;Shampoo;Revitalize;227984651
29/11/2023;5;Me encanta;¡Lo compre y me encanto! Lo volveré a comprar pronto;DermaXpro Champú Revitalizante;Shampoo;Revitalize;228903300
29/11/2023;5;Un fantástico descubrimiento;Lo compré para madre cansada de buscar productos que aliviaran su cuero cabelludo. La mejor compra que he hecho en mucho tiempo;DermaXpro Champú Revitalizante;Shampoo;Revitalize;228836261
29/11/2023;5;Espectacular;Compré el producto para probar y a pesar de que es caro es muy bueno;DermaXpro Champú Revitalizante;Shampoo;Revitalize;228225052
29/11/2023;5;Fantastico;Compre este producto y funciona genial. Sin duda lo recomiendo;DermaXpro Champú Revitalizante;Shampoo;Revitalize;228684010
29/11/2023;5;¡Ha salvado mi pelo!;Tengo un trabajo muy duro en el que mi pelo siempre se llena de polvo y tengo que llevarlo recogido. Se había quedado seco y siempre me costaba desenredarlo. Gracias a este producto me resulta mucho más fácil desenredarlo y vuelve a brillar como antes! ! ! Menos mal que lo encontré;Tratamiento Hidratante Sin Aclarado H&S DermaXPro;Hair Treatments;Revitalize;228638122
29/11/2023;5;Calidad - Precio Increible!;Llevo usando este producto desde hace 2 meses, me ha encantado. ¡Lo probé por unas compañeras y no volvería a cambiar de champú para mi cabello!;DermaXpro Champú Revitalizante;Shampoo;Revitalize;228218718
29/11/2023;5;¡Me ha encantado!;Hace poco que probé este champú junto con el resto de su gama y mi pelo ha cambiado mucho, siempre tenía caspa a pesar de lavarme el pelo a menudo y con este champú he conseguido erradicarla en muy poco tiempo. Sin duda un indispensable en mi casa.;DermaXpro Champú Revitalizante;Shampoo;Revitalize;228605466
29/11/2023;5;Cumple 100%;Aún tengo cantidad de esté producto y lo compré a parte por la caspa y la verdad que está cumpliendo con su función de momento lo recomiendo.;DermaXpro Champú Revitalizante;Shampoo;Revitalize;228208275
29/11/2023;5;Hidratación máxima;Probé este producto hace 2 semanas y desde la primera vez he notado como hidrata en profundidad mi cabello que tiene una tendencia seca, lo deja mucho más brillante y bonito;Tratamiento Hidratante Sin Aclarado H&S DermaXPro;Hair Treatments;Revitalize;228141511
29/11/2023;5;Buen producto;Te deja el pelo increíblemente suave y limpio, nos encanta.;Champú H&S DermaXPro;Shampoo;Soothe;228605451
29/11/2023;5;Genial;Llevo un mes usándolo, el pelo queda hidratado y revitalizado. Práctico y fácil de usar.;Tratamiento Hidratante Sin Aclarado H&S DermaXPro;Hair Treatments;Revitalize;228641454
29/11/2023;5;Muy bueno;Deja el pelo muy hidratado y tiene una sensación ligera;Tratamiento Hidratante Sin Aclarado H&S DermaXPro;Hair Treatments;Revitalize;228863474
29/11/2023;5;PELO LIMPIO Y SUAVE;Noto el pelo más fuerte y parece que se me cae menos;DermaXpro Champú Revitalizante;Shampoo;Revitalize;228785046
29/11/2023;5;Ha sido lo mejor que me han recomendado;"Me lo recomendó mi peluquera porque tenía el pelo muy maltratado de utilizar tintes continúos; y ¡ me encanta! Es fabuloso. Te aporta hidratación sin apermazamiento. Se nota desde el primer uso, pelo suave y sin encrespamiento. ¡ Una maravilla! Lo recomiendo 100x100.";Tratamiento Hidratante Sin Aclarado H&S DermaXPro;Hair Treatments;Revitalize;228834598
29/11/2023;5;Champu;Este champu dermaXpro es muy bueno para el cabello  y para el crecimiento sin caspa ni residuos lo deja muy suave y limpio y después me pongo el acondicionador y me lo deja muy limpio y sin nada de caspa;DermaXpro Champú Revitalizante;Shampoo;Revitalize;228776187
29/11/2023;5;fantasticas funciones;Muy bueno lo recomiendo es muy suave y fresco me encanta el brillo que deja;DermaXpro Champú Revitalizante;Shampoo;Revitalize;228208268
28/11/2023;4;Buen champú;Compre el producto para probar y me agradó bastante;DermaXpro Champú Revitalizante;Shampoo;Revitalize;228010883
28/11/2023;4;Buena hidratacion;La verdad es que era escéptica y si funciona. . Así que estoy contenta. . Y soy obsesionada de mi pelo. .;Tratamiento Hidratante Sin Aclarado H&S DermaXPro;Hair Treatments;Revitalize;227976104
28/11/2023;4;Muy bueno;Muy buen champú, lo he usado una vez y me ha encantado, lo volveré a comprar;DermaXpro Champú Revitalizante;Shampoo;Revitalize;228784775
28/11/2023;4;de lo mejor de la marca;si que es verdad que me han dicho quen los ingredientes no son muy buenos para el pelo, a mi me gusta un monton.;Tratamiento Hidratante Sin Aclarado H&S DermaXPro;Hair Treatments;Revitalize;228141083
28/11/2023;5;Champú anticaspa;El Champú anticaspa DermaxPro deja el pelo limpio y sin caspa;DermaXpro Champú Revitalizante;Shampoo;Revitalize;228854520
28/11/2023;5;Encantada;ESTOY USÁNDOLO A PARTIR DE VERLO EN LA CUPONERA Y ME VA SUPER BIEN PARA MI CABELLO RIZADO, UNO DE LOS MEJORES PRODUCTOS QUE EH PROBADO.;Tratamiento Hidratante Sin Aclarado H&S DermaXPro;Hair Treatments;Revitalize;228010864
28/11/2023;5;CABELLO REJUVENECIDO;Lo compré hace un par de meses por primera vez y a mis hijas y a mi nos encantan los resultados;DermaXpro Champú Revitalizante;Shampoo;Revitalize;228216013
28/11/2023;5;Cumple su función y nutre el pelo;Lo compré porque me encabta probar productos nuevos y me ha encantado. Sin duda lo volveré a usar;Tratamiento Hidratante Sin Aclarado H&S DermaXPro;Hair Treatments;Revitalize;228010867
28/11/2023;5;Fantástico! ! !;Lo compré hace poco y el resultado es genial, se nota en el primer lavado. Super recomendable! !;DermaXpro Champú Revitalizante;Shampoo;Revitalize;228657183
28/11/2023;5;Un cabello brillante e hidratado;Compre el producto por recomendación de una amiga y realmente estoy contenta, deja el cabello hidratado, limpio y brillante;DermaXpro Champú Revitalizante;Shampoo;Revitalize;228139889
28/11/2023;5;Funciona muy bien!;Compre este producto despues de conocerlo por proximati y en especial para mi marido. Va genial en cuero cabelludo seco y con tendencia a descamarse.;DermaXpro Champú Revitalizante;Shampoo;Revitalize;228651974
28/11/2023;5;Genial! ! ! ! ! !;Me encanta el producto y cumple con las expectativas;DermaXpro Champú Revitalizante;Shampoo;Revitalize;228605453
28/11/2023;5;Me encanta como queda el pelo;Recomiendo este producto,como uso habitual. Muy Buenos resultados.;Tratamiento Hidratante Sin Aclarado H&S DermaXPro;Hair Treatments;Revitalize;228785053
28/11/2023;5;Muy bueno;Lo probé el mes pasado y la verdad es que me encantó.;DermaXpro Champú Revitalizante;Shampoo;Revitalize;228683785
28/11/2023;5;Súper hidratación;Te deja el pelo brillante y sedoso, muy hidratado. Es genial;Tratamiento Hidratante Sin Aclarado H&S DermaXPro;Hair Treatments;Revitalize;228904734
28/11/2023;5;Pelo con brillo;Deja el pelo con un brillo tremendo y muy muy suave  Nos encanta;DermaXpro Champú Revitalizante;Shampoo;Revitalize;228886403
28/11/2023;5;Xd;Este producto es un champú, se usa para limpiar la cabeza;DermaXpro Champú Revitalizante;Shampoo;Revitalize;228141085
27/11/2023;4;Me encanta;Buena fragancia  Te deja el pelo suave y no hace falta que uses acondicionador;DermaXpro Champú Revitalizante;Shampoo;Revitalize;228836262
27/11/2023;4;Super eficaz;Lo compré hace 15 Días y me sorprendió bastante y se nota más fuerte y con más brillo.;Tratamiento Hidratante Sin Aclarado H&S DermaXPro;Hair Treatments;Revitalize;228010875
27/11/2023;4;ES LO MEJOR;Lo compré hace dos semanas y me ha gustado muchísimo sobre todo que no tiene aclarado y yo necesito una hidratación profunda, sin tener que aclarar. recomendadísimo.;Tratamiento Hidratante Sin Aclarado H&S DermaXPro;Hair Treatments;Revitalize;228834608
27/11/2023;4;Me encanta , es un producto maravilloso;Me encanta, lo seguiré comprando, es maravilloso, lo recomendarte a mis amigos;Tratamiento Hidratante Sin Aclarado H&S DermaXPro;Hair Treatments;Revitalize;228637094
27/11/2023;4;Parece que funciona;Lo llevo usando solo 15 días pero tengo el pelo más jugoso e hidratado;Tratamiento Hidratante Sin Aclarado H&S DermaXPro;Hair Treatments;Revitalize;228648845
27/11/2023;5;Fantastico;Todo lo que necesitas para que tu pelo se vea espectacular;Tratamiento Hidratante Sin Aclarado H&S DermaXPro;Hair Treatments;Revitalize;228155353
27/11/2023;5;Me encanta;Compre este producto hace un mes y es una autentica maravilla, noto mi pelo mas fuerte y más abundante;Tratamiento Hidratante Sin Aclarado H&S DermaXPro;Hair Treatments;Revitalize;228778776
27/11/2023;5;Genial!;Compré este producto y hace tal cual su función. Te deja el pelo super hidratado y sedoso.;Tratamiento Hidratante Sin Aclarado H&S DermaXPro;Hair Treatments;Revitalize;228206265
27/11/2023;5;Buen producto;Compré este producto y deja el pelo muy bien. Lo reco. iendo 100%;Tratamiento Hidratante Sin Aclarado H&S DermaXPro;Hair Treatments;Revitalize;227977195
27/11/2023;5;Muy bueno y duradero;Compre este producto y me funcionó muy bien dejando un frescor y olor agradable;DermaXpro Champú Revitalizante;Shampoo;Revitalize;228665856
27/11/2023;5;Cabello muy dócil;Compre este producto porque mi cuero cabelludo es muy graso y siempre tengo el problema de caspa y quería cambiar de producto vi este y me deja genial el cabello muy dócil y sin nada de grasa lo recomiendo al 100%%%%%;DermaXpro Champú Revitalizante;Shampoo;Revitalize;228218720
27/11/2023;5;Me encanta funciona super bien justo lo que quería;Compre este producto por curiosidad y la verdad me he alegrado mucho porque me deja el. pelo super bien;Tratamiento Hidratante Sin Aclarado H&S DermaXPro;Hair Treatments;Revitalize;228904818
27/11/2023;5;De los mejores champús probados;Compre este champu en carrefour lo ha probado mi pareja y me ha dicho que es increíble y que le deja la barba súper suave es un poco subido de precio pero esque lo vale;DermaXpro Champú Revitalizante;Shampoo;Revitalize;228683777
27/11/2023;5;Me encanto;No e probado un champú mejor que este os lo recomoendo;DermaXpro Champú Revitalizante;Shampoo;Revitalize;228141508
27/11/2023;5;Muy recomendado;Invertí mi dinero bien . . buna calidad del producto me encanta deja el cabello suave y sin caspa molesta;DermaXpro Champú Revitalizante;Shampoo;Revitalize;228015420
27/11/2023;5;Excelente;me gusta, esperare a usarlo un par se semanas para poder dar una opinion sobre su uso.;DermaXpro Champú Revitalizante;Shampoo;Revitalize;228014445
27/11/2023;5;Birno;Me encanta,calidad y precio. Efectivo y buena limpieza y cuidados.;DermaXpro Champú Revitalizante;Shampoo;Revitalize;227976836
27/11/2023;5;Fantastico;Me encantan estas marcas para el cabello huelen tan bien y son tan buenas;Tratamiento Hidratante Sin Aclarado H&S DermaXPro;Hair Treatments;Revitalize;228638126
27/11/2023;5;Perfecto me gusta mucho;Comencé a usarlo porque me lo recomendó una amiga y me va genial;DermaXpro Champú Revitalizante;Shampoo;Revitalize;227988103
27/11/2023;5;Genial;Hace un mes que lo probé y el cambio en mi melena es espectacular, se ve sedoso y está suave y con más cuerpo, ya no puedo utilizar otro;DermaXpro Champú Revitalizante;Shampoo;Revitalize;228776180
27/11/2023;5;Espectacular;Lo probé y me gustó mucho, era la primera vez que lo usaba, al principio me daba un poco de miedo porque tengo muchas alergias, pero quedé muy satisfecha;DermaXpro Champú Revitalizante;Shampoo;Revitalize;228127497
27/11/2023;5;Me encanta;Es maravilloso como deja el cabello suave y brillante ,me gusta mucho lo recomiendo;DermaXpro Champú Revitalizante;Shampoo;Revitalize;228218715
27/11/2023;5;Excelente resultado;Es fantástico, frena la caída y deja el pelo suave y sin caspa;DermaXpro Champú Revitalizante;Shampoo;Revitalize;228607534
27/11/2023;5;Un producto de una calidad estupenda;Llevo tan solo dos semanas de tratamiento y he notado una diferencia brutal en cuanto a la hidratación. Estupenda idea que no necesite aclarado;Tratamiento Hidratante Sin Aclarado H&S DermaXPro;Hair Treatments;Revitalize;228863475
27/11/2023;5;Fantástico!;La efectividad de este champú en el control de la dermatitis seborreica es impresionante. Después de un uso constante, los síntomas incómodos disminuyeron significativamente. La descamación y la irritación se redujeron drásticamente, proporcionando un alivio genuino.;DermaXpro Champú Revitalizante;Shampoo;Revitalize;228010863
27/11/2023;5;Fantastico;Maravilloso champú, me arreglo el pelo mejor que ninguno.;DermaXpro Champú Revitalizante;Shampoo;Revitalize;228837395
26/11/2023;4;Me encanta da mucho brillo y hidratación;Compre el producto para mi pelo dañado y me encantó el resultado;Tratamiento Hidratante Sin Aclarado H&S DermaXPro;Hair Treatments;Revitalize;226601304
26/11/2023;4;Funciona muy bien;Compré este producto y estoy muy contenta con los resultados;DermaXpro Champú Revitalizante;Shampoo;Revitalize;226660811
26/11/2023;4;Estupenda fragancia y sensación de menos caida;Desde que decidí probar este producto porque se me caía muchi el pelo estoy sorprendida, parece que lo tengo más sano y fuerte y se me cae mucha menor cantidad. Además el olor es magnífico;DermaXpro Champú Revitalizante;Shampoo;Revitalize;227710680
26/11/2023;4;Buenos resultados sin aclarado;Producto muy práctico sin aclarado, lo que facilita su uso. Debes utilizarlo cada día por la mañana y por la noche pero los resultados compensan. Es fácil de aplicar gracias a su punta estrecha, la sensación es la misma que cuando tienes la piel seca y te pones crema. Da una sensación de frescor muy agradable, hidrata el cuero cabelludo y si tienes 46 años como yo y el pelo ya no está tan fuerte como antes, notas el pelo más fuerte. Así que ya sabes aplícalo cada día y notarás los resultados.;Tratamiento Hidratante Sin Aclarado H&S DermaXPro;Hair Treatments;Revitalize;227841351
26/11/2023;5;Mejor imposible! !;Lo compré por experimentar y desde entonces no uso otro!;Tratamiento Hidratante Sin Aclarado H&S DermaXPro;Hair Treatments;Revitalize;227713751
26/11/2023;5;Muy bueno la verdad.;Lo compré para poder probarlo y de momento muy bien se me caía muchísimo el pelo tanto que me asuste y he decidido a probarlo y demomento va bastante bien me reducir mucho la caida;DermaXpro Champú Revitalizante;Shampoo;Revitalize;227987465
26/11/2023;5;Fantastico me gusto;Me encanta lo recomiendo funciona muy bien deja el cabello fantastico;DermaXpro Champú Revitalizante;Shampoo;Revitalize;226588793
26/11/2023;5;Champu;Te deja el cuero cabelludo y el pelo como nuevo,frescor,suave,huele fenomenal. muy contento;DermaXpro Champú Revitalizante;Shampoo;Revitalize;227804230
26/11/2023;5;Fantástico;Me va genial mi hija también a empezado a usarlo se lo recomendé a mis amigas y ahora también lo usan un buen producto.;Tratamiento Hidratante Sin Aclarado H&S DermaXPro;Hair Treatments;Revitalize;226581029
26/11/2023;5;Va perfecto lo recomiendo;Va genial lo recomiendo mucho a la gente que tenga caspa etc. . . a mi me encanta;Tratamiento Hidratante Sin Aclarado H&S DermaXPro;Hair Treatments;Revitalize;226613719
26/11/2023;5;Excelente;Usamos h & s de siempre y nos llamó la atención esta nueva gama, solo puedo decir que es excelente y cumple sus funciones.;DermaXpro Champú Revitalizante;Shampoo;Revitalize;226583560
25/11/2023;4;Limpieza;Lo compre con dudas pero he acabado encantada , repetiría sin duda;DermaXpro Champú Revitalizante;Shampoo;Revitalize;227835505
25/11/2023;4;Cumple con las expectativas;Probé este producto durante 1 mes, y me funcionó correctamenre;DermaXpro Champú Revitalizante;Shampoo;Revitalize;227825294
25/11/2023;5;La mejor mascarilla sin aclarado q he probado.;No apelmaza, brillo extremo, cabellos sueltos e hidratación intensa ,cabello nutrido;Tratamiento Hidratante Sin Aclarado H&S DermaXPro;Hair Treatments;Revitalize;227819456
25/11/2023;5;! Lo mejor que he probado en mi vida!;Compré este producto porque me lo recomendó una amiga y es el mejor consejo que me han dado, me encanta, ahora lo llevo conmigo a todas partes.;DermaXpro Champú Revitalizante;Shampoo;Revitalize;227845495
25/11/2023;5;Fantástico;Compré este producto esta semana y es genial. lo recomiendo;DermaXpro Champú Revitalizante;Shampoo;Revitalize;227833257
25/11/2023;5;Super recomendado;Compro este producto desde hace 2 meses me deja el pelo radiante;Acondicionador H&S DermaXPro;Hair Conditioner;Soothe;226632990
25/11/2023;5;Pelo sedoso;Llevo utilizando el producto como 2 semanas y me encanta como deja el pelo, la suavidad y textura es espectacular;Tratamiento Hidratante Sin Aclarado H&S DermaXPro;Hair Treatments;Revitalize;227833290
25/11/2023;5;Super-hidratante;Me encanta como deja el cabello, se nota hidratado y a la vez flexible, sin apelmazar.;Tratamiento Hidratante Sin Aclarado H&S DermaXPro;Hair Treatments;Revitalize;227850256
25/11/2023;5;Fantastico! Me encanta;Me encanta como deja el pelo esta gama de productos me a encantado;DermaXpro Champú Revitalizante;Shampoo;Revitalize;227739786
25/11/2023;5;Me encanta,deja el pelo super brillante;Me encanta lo compré para probar,porque yo suelo usar el H&S Classic por la caspa i vi que este reparaba el pelo dañado también i digo voy a probar i me va genial ahora tengo un pelo sano,brillante i libre de caspa;DermaXpro Champú Revitalizante;Shampoo;Revitalize;226583552
25/11/2023;5;Cabello sedoso;Me encanta, deja el pelo suelto con un toque de volumen en raíz, y olor muy rico, pero suave. Formato cómodo y textura agradable. Me parece muy recomendable.;DermaXpro Champú Revitalizante;Shampoo;Revitalize;226581037
25/11/2023;5;Espectacular;Me encanta su olor y como dejo mi cabello lo usé solo una vez y lo decidí me cambio sin pensarlo;DermaXpro Champú Revitalizante;Shampoo;Revitalize;227841345
25/11/2023;5;Me encanta;En poco tiempo se notan los resultados así que seguiré usandolo;DermaXpro Champú Revitalizante;Shampoo;Revitalize;227769022
25/11/2023;5;Muy bien;Llevo unos días con el y genial, los picores han disminuido.;DermaXpro Champú Revitalizante;Shampoo;Revitalize;226624449
25/11/2023;5;Fantástico champoo;Deja el cabello con briyo super limpio m encanta el olor lo recomiendo;DermaXpro Champú Revitalizante;Shampoo;Revitalize;226657421
25/11/2023;5;Fantastico ! ! ! ! ! ! ! ! !;Me han hablado genial de este producto donde le ha cambiado el cabello a mejor super recomiendo;Tratamiento Hidratante Sin Aclarado H&S DermaXPro;Hair Treatments;Revitalize;226604417
25/11/2023;5;No puede faltar en tu casa;Este producto es genial, me ha encantado. Sin duda debes probarlo.;DermaXpro Champú Revitalizante;Shampoo;Revitalize;226634977
25/11/2023;5;Satisfacción;Necencanta su resultado su esencia que ne deja relajada y sin picazón un sensación muy agradable y dirá más  tiempo;DermaXpro Champú Revitalizante;Shampoo;Revitalize;226628238
24/11/2023;3;Fantástico 2 en uno súper suave queda el cabello;Compre la semana pasada y me encantó repetire sin duda un buen Chapu a precio asequible;DermaXpro Champú Revitalizante;Shampoo;Revitalize;226610192
24/11/2023;3;¡Sensación excelente!;Compré este producto a final de agosto. Normalmente es la época que coincide con la caída del pelo, daños por el sol, etc. Sin embargo, cuando probé este producto, cada día botaba el pelo más fuerte. Menos caída. La verdad que me sorprendió el resultado. Desde entonces, lo uso cada dos meses aproximadamente.;Tratamiento Hidratante Sin Aclarado H&S DermaXPro;Hair Treatments;Revitalize;226624450
24/11/2023;4;¡maravilla!;no sabia que era tan buen producto. yo tengo el pelo super seco y con esto no necesito nada mas para que brille y este sano!;Tratamiento Hidratante Sin Aclarado H&S DermaXPro;Hair Treatments;Revitalize;226604408
24/11/2023;4;Cumple lo que promete;Llevo poco usándolo no más de un mes y ya noto mejoría en mi caspa después del parto y el embarazo he sufrido muchos cambios entre ellos en el cabello y buscaba algo que me cuidase el cabello y la piel y este champú lo cumple.;DermaXpro Champú Revitalizante;Shampoo;Revitalize;227744675
